Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Sales Manager,Manufacturing,Medium,Berlin,3,1,Python,70100.00213579283,1,0
Data Scientist,Transportation,Large,Berlin,3,3,Python,100519.55116835234,0,-1
HR Manager,Education,Large,Singapore,2,2,Communication,87565.92091164265,1,0
UX Designer,Technology,Medium,Sydney,1,3,Project Management,88155.31590733438,0,0
AI Researcher,Manufacturing,Large,Singapore,1,2,UX/UI Design,98036.51708068005,0,1
Product Manager,Manufacturing,Medium,Sydney,1,2,Marketing,98153.12507249897,0,0
AI Researcher,Education,Large,Sydney,2,3,Data Analysis,100575.36211583146,1,1
Operations Manager,Finance,Small,Tokyo,1,1,UX/UI Design,68850.5761560838,1,1
Marketing Specialist,Manufacturing,Large,Tokyo,2,1,Communication,75003.77185667082,1,-1
Data Scientist,Transportation,Small,San Francisco,2,1,Data Analysis,119717.36551035367,1,1
Data Scientist,Manufacturing,Large,Dubai,2,1,Project Management,85588.5506503832,0,1
UX Designer,Manufacturing,Small,Dubai,3,1,Communication,96120.28796035792,0,-1
Marketing Specialist,Manufacturing,Large,New York,1,2,Data Analysis,111093.32624086372,1,1
Cybersecurity Analyst,Telecommunications,Small,Dubai,1,1,Project Management,99268.86144721638,1,-1
Software Engineer,Telecommunications,Medium,Tokyo,2,2,Sales,100930.45261944078,1,0
HR Manager,Finance,Medium,San Francisco,2,2,UX/UI Design,107891.55358487512,0,-1
Data Scientist,Technology,Small,San Francisco,1,2,UX/UI Design,47666.72478206,1,1
Sales Manager,Manufacturing,Large,Sydney,2,3,Marketing,80200.99689678931,1,-1
Data Scientist,Entertainment,Small,Singapore,1,3,Project Management,99372.11592999184,0,1
AI Researcher,Technology,Large,New York,3,2,JavaScript,117752.88614115314,0,0
Data Scientist,Finance,Medium,Sydney,2,3,Sales,91321.91119311546,1,-1
Data Scientist,Retail,Large,Singapore,1,1,Machine Learning,73105.67076487809,0,0
Software Engineer,Technology,Medium,Dubai,2,1,Data Analysis,73638.27900778996,1,1
Software Engineer,Technology,Large,Sydney,1,2,Sales,107677.22406906149,0,1
Product Manager,Energy,Large,London,1,1,Project Management,85644.52835216226,1,0
Cybersecurity Analyst,Healthcare,Large,Dubai,2,2,Cybersecurity,89855.99908419327,1,-1
Sales Manager,Energy,Small,Singapore,3,2,Data Analysis,102300.60387544638,1,-1
Data Scientist,Transportation,Small,New York,1,1,Python,31969.52634612842,1,1
Data Scientist,Telecommunications,Medium,Singapore,1,3,UX/UI Design,130007.35023016162,0,0
HR Manager,Telecommunications,Medium,Sydney,1,1,Project Management,75378.52329897878,0,0
Software Engineer,Healthcare,Small,Sydney,3,1,Python,94838.72738947145,0,-1
Sales Manager,Education,Medium,Berlin,3,2,Marketing,55906.05973007458,0,-1
UX Designer,Education,Small,New York,2,2,Communication,81549.17779189924,1,-1
Product Manager,Finance,Large,Paris,3,2,Machine Learning,114893.76092730192,1,0
Cybersecurity Analyst,Healthcare,Medium,Dubai,2,2,Machine Learning,51676.65640668242,0,-1
Marketing Specialist,Technology,Medium,San Francisco,2,3,Python,112524.00174378282,0,-1
Cybersecurity Analyst,Education,Small,New York,3,3,UX/UI Design,84526.07807535231,0,1
AI Researcher,Manufacturing,Medium,San Francisco,2,3,Marketing,99743.28880440384,0,-1
Data Scientist,Entertainment,Medium,New York,3,2,Cybersecurity,103150.4882697022,0,-1
Product Manager,Technology,Large,New York,2,2,UX/UI Design,98828.42998981853,1,0
AI Researcher,Transportation,Medium,Singapore,3,2,Sales,72700.98696738348,1,0
Sales Manager,Manufacturing,Large,New York,3,3,Machine Learning,82709.01706929953,1,1
Marketing Specialist,Manufacturing,Small,Berlin,2,2,Sales,60768.876454983685,0,-1
Software Engineer,Healthcare,Medium,Paris,1,1,Data Analysis,99835.9266317616,0,1
Product Manager,Finance,Large,Sydney,2,1,JavaScript,124041.10308031851,0,0
Product Manager,Transportation,Small,Toronto,3,2,Project Management,53511.18226647075,0,1
Data Scientist,Education,Medium,San Francisco,1,1,Marketing,74767.0818772393,1,0
Operations Manager,Healthcare,Small,Sydney,2,1,UX/UI Design,86364.49448234134,1,1
Product Manager,Education,Medium,Toronto,2,3,Machine Learning,93466.82847427108,0,1
HR Manager,Healthcare,Small,Paris,2,2,Sales,107583.52602868852,1,-1
Marketing Specialist,Healthcare,Small,Paris,1,2,Communication,86956.00039284666,1,1
Marketing Specialist,Healthcare,Large,San Francisco,3,3,Data Analysis,83680.825471087,0,-1
HR Manager,Finance,Small,San Francisco,2,1,Project Management,112062.6141213948,0,-1
UX Designer,Healthcare,Medium,Paris,2,1,Project Management,103239.91134126612,0,-1
HR Manager,Retail,Medium,Toronto,2,2,UX/UI Design,100779.55951402197,0,-1
HR Manager,Entertainment,Large,New York,2,1,Marketing,92250.31423176228,0,1
Marketing Specialist,Education,Medium,Dubai,2,3,Cybersecurity,109663.04421839718,0,0
Cybersecurity Analyst,Technology,Medium,London,3,3,Communication,76873.81217539468,1,0
Marketing Specialist,Energy,Medium,Sydney,3,2,UX/UI Design,74146.11435627844,1,0
Operations Manager,Transportation,Small,Singapore,2,3,Sales,104922.01973738648,0,1
Data Scientist,Telecommunications,Small,Sydney,1,3,JavaScript,57499.28061506184,1,-1
AI Researcher,Finance,Medium,Singapore,3,2,Python,91843.59019272974,0,0
Cybersecurity Analyst,Technology,Large,Toronto,1,3,Cybersecurity,83668.83295474976,0,1
Software Engineer,Manufacturing,Small,Singapore,3,3,Marketing,61884.90538694088,0,-1
AI Researcher,Retail,Large,San Francisco,2,3,Data Analysis,71374.64840567471,0,0
Data Scientist,Telecommunications,Medium,Dubai,3,1,Cybersecurity,87820.47815409301,1,-1
Operations Manager,Energy,Medium,Dubai,2,2,Machine Learning,110679.26512998046,0,0
Operations Manager,Technology,Small,San Francisco,3,2,Marketing,76940.84017484378,1,0
Software Engineer,Telecommunications,Medium,Berlin,2,2,JavaScript,114267.62799809988,0,0
Cybersecurity Analyst,Technology,Small,Toronto,2,1,Machine Learning,91263.58455113032,0,-1
UX Designer,Retail,Medium,Berlin,2,1,Cybersecurity,116207.69404339942,0,1
HR Manager,Energy,Medium,Berlin,2,2,Python,77910.16782439903,1,-1
Cybersecurity Analyst,Manufacturing,Small,Sydney,1,1,Python,89023.80823789263,0,0
UX Designer,Healthcare,Small,Paris,2,2,JavaScript,97369.6720667399,0,-1
Operations Manager,Education,Small,Sydney,1,1,Project Management,86409.79074516977,0,1
Marketing Specialist,Manufacturing,Medium,Paris,1,3,Communication,109060.48294290472,1,-1
Data Scientist,Healthcare,Medium,London,2,3,Data Analysis,45848.72549419468,1,1
Software Engineer,Finance,Large,Singapore,1,2,Project Management,138448.1107757988,1,1
Data Scientist,Entertainment,Small,Paris,3,1,Python,107155.49213990325,0,-1
Sales Manager,Transportation,Medium,San Francisco,2,1,Python,86529.36341929967,1,0
Sales Manager,Transportation,Medium,Sydney,1,3,Sales,78953.56652845311,0,1
Cybersecurity Analyst,Education,Small,Toronto,2,3,Machine Learning,72671.58777102892,1,-1
Operations Manager,Energy,Large,Singapore,2,1,Cybersecurity,102912.30948339474,1,1
Operations Manager,Retail,Small,London,2,1,Data Analysis,109899.63337584709,0,0
HR Manager,Energy,Large,Paris,1,1,JavaScript,86749.477437402,1,-1
HR Manager,Retail,Medium,London,3,1,Cybersecurity,112139.80825957004,0,-1
HR Manager,Energy,Large,Toronto,3,1,Sales,71854.79906477756,0,-1
Marketing Specialist,Entertainment,Medium,Berlin,1,1,Python,68323.78300026328,1,0
AI Researcher,Finance,Small,Dubai,2,2,JavaScript,126266.82410491098,0,1
Product Manager,Finance,Small,Toronto,1,1,Python,101822.17227077084,0,-1
AI Researcher,Healthcare,Small,Tokyo,1,3,Data Analysis,117936.96403626657,1,1
Data Scientist,Telecommunications,Large,Toronto,1,2,Machine Learning,72921.20583224614,1,1
AI Researcher,Finance,Medium,London,2,1,Cybersecurity,71529.49216462541,0,0
Marketing Specialist,Finance,Small,San Francisco,1,3,Cybersecurity,82827.81361084916,1,-1
Data Scientist,Manufacturing,Small,Sydney,2,2,Project Management,73518.82316921977,0,1
AI Researcher,Manufacturing,Medium,San Francisco,1,3,JavaScript,104107.30420456902,0,-1
Marketing Specialist,Healthcare,Small,London,3,1,Communication,74977.47886147109,1,-1
Product Manager,Telecommunications,Medium,Sydney,1,1,Sales,66566.60283865419,1,0
AI Researcher,Education,Medium,Tokyo,1,1,Communication,92840.30824510464,1,-1
Marketing Specialist,Manufacturing,Medium,Dubai,3,1,Project Management,64200.27648349573,1,-1
HR Manager,Education,Medium,Singapore,2,2,Data Analysis,54010.72137049221,0,1
Operations Manager,Technology,Medium,London,2,2,Sales,92665.14467722556,0,0
HR Manager,Manufacturing,Large,Paris,1,3,Machine Learning,55015.5991397958,1,-1
Operations Manager,Entertainment,Small,London,3,1,Communication,105505.58792590846,1,1
Software Engineer,Telecommunications,Large,London,2,3,Machine Learning,62093.32547494408,0,0
Software Engineer,Healthcare,Small,Sydney,1,2,Communication,45186.52427160505,0,0
Software Engineer,Technology,Large,New York,3,1,Machine Learning,84124.06699718411,0,1
Product Manager,Telecommunications,Medium,Toronto,2,1,Communication,92891.89006592968,0,1
HR Manager,Entertainment,Small,New York,2,2,Machine Learning,99829.50127363882,1,1
Operations Manager,Telecommunications,Small,Tokyo,3,2,Project Management,93440.31398031706,0,1
Marketing Specialist,Entertainment,Large,Paris,3,2,Marketing,68813.74757764515,0,1
Data Scientist,Entertainment,Large,Dubai,3,2,Sales,104261.22361853208,1,-1
Marketing Specialist,Education,Small,Berlin,3,2,JavaScript,109202.77012959492,0,-1
Data Scientist,Energy,Large,Tokyo,1,1,Data Analysis,65884.75743088922,0,0
Sales Manager,Technology,Large,Berlin,3,2,UX/UI Design,86379.87722680772,1,-1
Marketing Specialist,Telecommunications,Large,Berlin,2,1,Python,84511.1994578196,1,-1
AI Researcher,Retail,Medium,Dubai,2,1,JavaScript,94407.63165576068,1,-1
AI Researcher,Technology,Medium,San Francisco,1,2,Python,85901.52416451782,0,1
Cybersecurity Analyst,Energy,Large,New York,2,2,Sales,88642.44455854046,0,0
HR Manager,Technology,Large,London,2,1,JavaScript,102836.31060483382,1,0
Data Scientist,Finance,Medium,Singapore,3,2,Machine Learning,67722.93800797733,1,0
Data Scientist,Retail,Medium,Berlin,2,2,Machine Learning,104747.46270521649,0,0
HR Manager,Energy,Small,Paris,1,2,UX/UI Design,112822.65463062502,1,-1
Product Manager,Education,Small,Tokyo,3,3,Python,122682.69986977737,1,-1
Cybersecurity Analyst,Telecommunications,Medium,San Francisco,3,1,Data Analysis,47132.65351725282,1,1
Product Manager,Transportation,Large,Berlin,1,3,Sales,86341.96685769563,0,0
Product Manager,Energy,Large,San Francisco,3,2,Machine Learning,50697.98851292822,0,-1
Product Manager,Healthcare,Large,San Francisco,3,3,Marketing,41298.72620454353,0,-1
HR Manager,Telecommunications,Large,Berlin,1,2,Project Management,92881.86095214955,0,1
Product Manager,Energy,Small,Sydney,3,3,Project Management,82016.96414299277,0,1
AI Researcher,Finance,Medium,Toronto,1,2,Communication,95997.01903541492,0,1
Software Engineer,Transportation,Large,Paris,1,3,Data Analysis,99722.55380174633,1,-1
Sales Manager,Finance,Small,London,2,3,Project Management,114957.91916215842,0,-1
Data Scientist,Transportation,Large,London,2,3,Communication,91078.4085061156,0,1
Data Scientist,Healthcare,Medium,Paris,3,1,Python,148467.11234638176,1,0
Sales Manager,Telecommunications,Small,Sydney,3,3,Machine Learning,96128.19709970424,0,1
HR Manager,Education,Medium,London,1,1,Machine Learning,126849.58089134425,0,1
Marketing Specialist,Finance,Medium,San Francisco,3,2,Marketing,43343.24398951503,1,1
HR Manager,Finance,Small,Dubai,1,3,JavaScript,116994.7905910125,1,1
Data Scientist,Entertainment,Small,Tokyo,1,2,Project Management,86384.7902040888,1,-1
Data Scientist,Transportation,Small,New York,3,2,Python,51033.05481145457,0,0
Sales Manager,Manufacturing,Small,London,1,3,Cybersecurity,98410.9021845624,1,1
Product Manager,Telecommunications,Small,Paris,2,1,Project Management,83940.88924031366,0,0
HR Manager,Transportation,Small,Dubai,3,3,Data Analysis,101601.06496896283,0,0
Operations Manager,Entertainment,Small,Berlin,2,2,JavaScript,110221.52915102156,0,0
Sales Manager,Technology,Large,Toronto,3,2,Project Management,60216.99766476808,0,1
AI Researcher,Transportation,Medium,Paris,1,3,Python,110298.37964910315,1,-1
Data Scientist,Education,Small,San Francisco,3,1,Project Management,90129.58968441431,1,1
Sales Manager,Telecommunications,Large,Toronto,2,1,Data Analysis,117056.82349386544,0,0
HR Manager,Entertainment,Large,Tokyo,1,2,Cybersecurity,85897.03542004264,1,0
Data Scientist,Technology,Large,Tokyo,3,2,Sales,80591.82214937158,0,-1
Marketing Specialist,Retail,Medium,Sydney,3,1,UX/UI Design,90541.08081377904,0,1
Sales Manager,Entertainment,Small,Singapore,3,3,Cybersecurity,92037.21412759706,0,0
Cybersecurity Analyst,Retail,Large,Sydney,2,2,Communication,76744.30397016529,1,-1
Data Scientist,Telecommunications,Medium,Dubai,2,1,Project Management,80073.90538089433,0,0
HR Manager,Finance,Medium,Toronto,3,2,Machine Learning,65462.48930972422,0,-1
Software Engineer,Entertainment,Medium,Singapore,1,3,Marketing,81307.09820419611,1,-1
Operations Manager,Healthcare,Large,Berlin,1,1,Machine Learning,103526.20119995158,1,1
UX Designer,Retail,Small,San Francisco,2,2,Cybersecurity,87252.91652187712,1,0
Product Manager,Education,Large,Toronto,1,3,Machine Learning,110181.30592094656,1,1
UX Designer,Healthcare,Large,Sydney,2,2,Python,86291.41064693853,0,0
HR Manager,Energy,Small,New York,3,3,Machine Learning,61369.64004553371,1,1
AI Researcher,Energy,Small,Singapore,2,3,JavaScript,101945.49775113164,0,0
AI Researcher,Technology,Small,Singapore,2,1,Sales,76527.53717933195,1,1
Software Engineer,Finance,Medium,San Francisco,3,3,Project Management,85332.65422472931,1,-1
Product Manager,Telecommunications,Small,London,1,2,Machine Learning,114751.44094968236,1,0
Cybersecurity Analyst,Entertainment,Large,Tokyo,2,3,Data Analysis,66782.59080556972,1,0
Software Engineer,Manufacturing,Small,Tokyo,2,3,Sales,93294.8757492877,1,-1
UX Designer,Education,Large,New York,3,1,Sales,89189.63299928416,1,1
Software Engineer,Retail,Medium,Dubai,1,3,Machine Learning,104018.51430874206,0,0
